,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.3333,47.59,75,11,20.45,NZ,1660426786
1,Hobart,-42.8794,147.3294,52.27,97,100,21.85,AU,1660426818
2,Rio Grande,-32.035,-52.0986,66.31,86,12,6.49,BR,1660426878
3,Kem',64.9555,34.5793,53.13,68,50,6.26,RU,1660426881
4,Kapaa,22.0752,-159.319,82.47,69,40,12.66,US,1660426645
5,Ancud,-41.8697,-73.8203,45.93,79,32,22.5,CL,1660426721
6,Lagoa,39.05,-27.9833,75.11,88,0,10.96,PT,1660426782
7,Hailey,43.5196,-114.3153,91.89,34,0,11.5,US,1660426886
8,Albany,42.6001,-73.9662,78.39,42,2,3.24,US,1660426312
9,Kavieng,-2.5744,150.7967,81.73,74,100,8.93,PG,1660426722
10,Ternate,0.8,127.4,80.35,78,92,5.21,ID,1660426889
11,Kenai,60.5544,-151.2583,55.49,96,100,5.75,US,1660426891
12,Punta Arenas,-53.15,-70.9167,35.71,93,100,16.11,CL,1660426892
13,Rikitea,-23.1203,-134.9692,72.91,79,49,22.21,PF,1660426829
14,Bethel,41.3712,-73.414,78.8,50,75,11.5,US,1660426847
15,Akdepe,42.0551,59.3788,77.09,30,0,9.91,TM,1660426896
16,Progreso,21.2833,-89.6667,93.31,69,94,13.49,MX,1660426897
17,Port-Cartier,50.0334,-66.8654,71.82,69,89,1.9,CA,1660426899
18,Yamethin,20.4333,96.15,73.83,94,100,4.68,MM,1660426900
19,Nikolskoye,59.7035,30.7861,63.81,69,97,3.6,RU,1660426814
20,Avarua,-21.2078,-159.775,75.25,88,100,4.61,CK,1660426903
21,South River,40.4465,-74.386,84.24,38,0,5.01,US,1660426828
22,Marawi,7.9986,124.2928,69.39,92,87,4.5,PH,1660426905
23,Port Alfred,-33.5906,26.891,54.09,85,21,6.58,ZA,1660426908
24,Tasiilaq,65.6145,-37.6368,41.16,64,6,5.79,GL,1660426788
25,Atuona,-9.8,-139.0333,77.43,72,11,19.46,PF,1660426620
26,Monte Patria,-30.6919,-70.9467,65.7,39,0,4.81,CL,1660426912
27,Te Anau,-45.4167,167.7167,39.61,79,44,1.66,NZ,1660426710
28,Cam Ranh,11.9214,109.1591,82.36,74,40,3.44,VN,1660426780
29,Qaanaaq,77.484,-69.3632,42.87,69,100,13.02,GL,1660426667
30,Tuktoyaktuk,69.4541,-133.0374,62.6,77,75,9.22,CA,1660426632
31,Castro,-24.7911,-50.0119,56.12,74,100,3.42,BR,1660426848
32,Ushuaia,-54.8,-68.3,38.86,45,0,13.8,AR,1660426826
33,Tiksi,71.6872,128.8694,40.41,88,42,18.25,RU,1660426817
34,Cape Town,-33.9258,18.4232,53.89,78,75,5.99,ZA,1660426885
35,Cayenne,4.9333,-52.3333,84.24,1,0,9.22,GF,1660426924
36,Vaini,-21.2,-175.2,71.76,78,75,10.36,TO,1660426785
37,San Andrés,12.5847,-81.7006,86.02,74,40,8.05,CO,1660426659
38,Iqaluit,63.7506,-68.5145,51.53,71,75,11.5,CA,1660426642
39,San Patricio,28.017,-97.5169,94.17,54,99,9.46,US,1660426931
40,Suba,10.8438,121.0102,82.53,76,94,5.93,PH,1660426932
41,Mataura,-46.1927,168.8643,44.47,87,6,2.86,NZ,1660426842
42,Butaritari,3.0707,172.7902,81.16,79,22,15.93,KI,1660426791
43,Lompoc,34.6391,-120.4579,91.78,62,0,14.97,US,1660426684
